Name,latitude,longtitude,Type,name,degree
应急避险场所,121.379739,31.108628,Shelter,1,1
应急避难场所(申长路),121.32096,31.19883,Shelter,2,1
应急避难场所,121.608893,31.207374,Shelter,3,1
应急避难场所(爱国路),121.558093,31.285385,Shelter,4,1
应急避难场所(青浦区医疗急救中心东南),121.144209,31.16197,Shelter,5,1
应急避难场所(原平路),121.438864,31.290958,Shelter,6,1
应急避难场所(叶城路),121.271159,31.380003,Shelter,7,1
应急避难场所(靖边路),121.373371,31.262504,Shelter,8,1
应急避难场所(天山西路),121.368719,31.223625,Shelter,9,1
应急避难场所(长临路),121.443294,31.321039,Shelter,10,1
应急避难场所(中华新路),121.460787,31.260858,Shelter,11,1
应急避难场所(博乐路),121.259006,31.389653,Shelter,12,1
应急避难场所(广延路),121.461993,31.284936,Shelter,13,1
平阳三村应急避难场所,121.391654,31.138951,Shelter,14,1
应急避难场所(古北国际财富中心2期西),121.41041,31.203863,Shelter,15,1
应急避难场所(中兴路),121.483931,31.265186,Shelter,16,1
应急避难场所,121.445763,31.310538,Shelter,17,1
应急避难场所,121.393647,31.146716,Shelter,18,1
应急避难场所(昱翔佳苑东),121.32427,31.288075,Shelter,19,1
闸北公园应急避难场所,121.464778,31.276022,Shelter,20,1
应急避难场所,121.419337,31.649122,Shelter,21,1
应急避难所,121.629689,31.539831,Shelter,22,1
川沙消防站,121.72796,31.200005,Fire Department,23,2
浦东新区周渡消防救援站,121.494321,31.184931,Fire Department,24,2
新建恒丰消防站,121.465919,31.243964,Fire Department,25,2
泗泾消防站,121.266537,31.1053,Fire Department,26,2
庄行消防站,121.418371,30.933511,Fire Department,27,2
普陀区真光消防救援站,121.384992,31.256034,Fire Department,28,2
杜行老街消防站,121.502727,31.058693,Fire Department,29,2
松江区岳阳消防站,121.242353,31.021359,Fire Department,30,2
闵行区光华消防救援站,121.387525,31.072244,Fire Department,31,2
滴水湖消防救援站(环湖西三路店),121.925093,30.893965,Fire Department,32,2
外滩消防站,121.511029,31.226859,Fire Department,33,2
书院消防站,121.864354,30.994135,Fire Department,34,2
白杨村消防站,121.397588,31.345675,Fire Department,35,2
林南消防站,121.525774,31.128746,Fire Department,36,2
南桥镇西渡消防站,121.461674,30.98403,Fire Department,37,2
大型消防站,121.519155,31.14326,Fire Department,38,2
上海市消防总队嘉定支队朱桥消防救援站,121.214921,31.429668,Fire Department,39,2
国定消防中队,121.520964,31.29994,Fire Department,40,2
泥城镇云锦苑消防站,121.830246,30.907246,Fire Department,41,2
上海市消防总队杨浦支队翔殷中队,121.544377,31.313235,Fire Department,42,2
外滩消防支队,121.510956,31.226916,Fire Department,43,2
北蔡镇御桥消防站,121.595553,31.16585,Fire Department,44,2
天山消防队,121.407667,31.217256,Fire Department,45,2
海潮村消防站,121.771124,30.966469,Fire Department,46,2
爱国消防站,121.454522,31.088824,Fire Department,47,2
嘉定区安亭消防救援站,121.173607,31.315405,Fire Department,48,2
永联消防站,121.449346,31.108973,Fire Department,49,2
徐汇区东安消防救援站,121.461613,31.197314,Fire Department,50,2
宝山区罗南消防救援站,121.340669,31.39611,Fire Department,51,2
松江区仓桥消防救援站,121.229328,30.999779,Fire Department,52,2
蓝小帮消防站,121.418033,31.04469,Fire Department,53,2
奉贤区洪庙消防救援站,121.70675,30.931424,Fire Department,54,2
上海市嘉定区娄塘消防救援站,121.220067,31.435895,Fire Department,55,2
申江消防中队,121.64413,31.125056,Fire Department,56,2
闵行华漕消防中队,121.280883,31.224504,Fire Department,57,2
城北消防中队,121.111022,31.192252,Fire Department,58,2
国和消防中队,121.533118,31.327371,Fire Department,59,2
江浦消防救援中队,121.529237,31.269278,Fire Department,60,2
上海市消防总队静安支队闸北中队,121.465968,31.269636,Fire Department,61,2
长兴消防中队,121.719857,31.398074,Fire Department,62,2
上海交通大学医学院附属新华医院,121.524708,31.278971,Hospital,63,2
上海市同济医院,121.437529,31.272966,Hospital,64,2
上海市东方医院,121.518715,31.243459,Hospital,65,2
上海市闵行区中心医院,121.381873,31.113897,Hospital,66,2
上海市浦东新区人民医院,121.709898,31.195547,Hospital,67,2
上海长海医院,121.534852,31.314612,Hospital,68,2
上海长征医院,121.473612,31.238907,Hospital,69,2
上海市同仁医院,121.383874,31.214766,Hospital,70,2
复旦大学附属中山医院,121.460385,31.203963,Hospital,71,2
上海第十人民医院,121.460088,31.278009,Hospital,72,2
上海市普陀区中心医院,121.410709,31.247439,Hospital,73,2
上海中医药大学附属龙华医院,121.456833,31.19439,Hospital,74,2
上海市第五人民医院,121.413955,31.011794,Hospital,75,2
上海交通大学医学院附属第九人民医院,121.49299,31.208021,Hospital,76,2
上海市第一人民医院,121.495929,31.25908,Hospital,77,2
上海市第七人民医院,121.585154,31.349584,Hospital,78,2
复旦大学附属华东医院,121.447841,31.224783,Hospital,79,2
上海市第八人民医院,121.439734,31.173953,Hospital,80,2
复旦大学附属华山医院,121.449963,31.222788,Hospital,81,2
上海交通大学医学院附属仁济医院东院,121.529513,31.213408,Hospital,82,2
上海市浦东新区公利医院,121.553466,31.248525,Hospital,83,2
上海市第六人民医院,121.428896,31.185293,Hospital,84,2
上海中医药大学附属岳阳中西医结合医院,121.495334,31.294614,Hospital,85,2
上海同康医院,121.448707,31.096231,Hospital,86,2
上海曹安医院,121.252376,31.281128,Hospital,87,2
上海市肺科医院,121.508604,31.307749,Hospital,88,2
上海市徐汇区中心医院,121.464715,31.223359,Hospital,89,2
上海市中医医院,121.477983,31.265496,Hospital,90,2
上海正德医院,121.571899,31.175426,Hospital,91,2
上海沪西医院,121.375679,31.256947,Hospital,92,2
复旦大学附属儿科医院,121.401518,31.144931,Hospital,93,2
上海金高中西医结合医院,121.616908,31.286168,Hospital,94,2
京汇医院,121.282355,31.173813,Hospital,95,2
复旦大学附属肿瘤医院,121.459978,31.197373,Hospital,96,2
上海市胸科医院,121.431653,31.20393,Hospital,97,2
上海安国医院,121.358413,31.26235,Hospital,98,2
上海长虹医院,121.384938,31.222002,Hospital,99,2
上海申江医院,121.4317,31.285213,Hospital,100,2
上海兴岛医院,121.731203,31.39626,Hospital,101,2
上海交通大学医学院附属瑞金医院,121.473908,31.218145,Hospital,102,2
上海南航医院,121.605111,31.031802,Hospital,103,2
上海市浦东新区周浦医院,121.602193,31.105661,Hospital,104,2
上海福华医院,121.753272,31.045518,Hospital,105,2
上海同翔医院,121.317871,31.296836,Hospital,106,2
上海欣安医院,121.222855,31.321868,Hospital,107,2
上海天坛普华医院,121.407532,31.203323,Hospital,108,2
上海瑞东医院,121.579466,31.232194,Hospital,109,2
上海市黄浦区中医医院,121.491504,31.244905,Hospital,110,2
上海建国医院,121.344191,30.733578,Hospital,111,2
